Processed_Text,Emotion
feel like can not take anymore told boyfriend furious,anger
found feeling low time sad,sadness
woke feeling pretty rotten weekend morning even though yesterday felt fine,sadness
nauseous dizzy feel gloomy least attached body anymore,sadness
struggling feeling damaged,sadness
feeling adventurous laundry hamper,happy
feel blessed year thankful learned,happy
still pretty much feel ashamed certain disappointed weakness know fact angry upset one situation,sadness
feel le valued look good,happy
feel joy excitement opportunity receive vital ordinance,happy
feel phrase implies calm orderly procession would remove refuse,happy
eat allow one naughty item choice avoid feeling deprived,sadness
proclaim lost bit sanity feel shaky,fear
feeling rather delicate due alot white wine considerable amount dancing one best friend ended amp e due fractured wrist caused excessive dancing,love
told continues fact feel fear frightened correction terrified next,fear
feel uncomfortable fact powerless moment,fear
child suffered nightmare even since,fear
feel resentful really work resentment blow,anger
feel fucked day,anger
worked monday tuesday feeling crappy wednesday went home decided make rest day,sadness
spent day day feeling morose every awhile would hit hilmari dead,sadness
feel gloomy independence day,sadness
feel almost embarrassed contribution ridiculously unsophisticated pretty much immune alteration thing happening,sadness
way complaining whining feeling ungrateful,sadness
fascinated feel uptight many challenge life,fear
know crazy girl think name katja living feel like real life sort disheartened disallusioned clerk,sadness
felt low point missing people know love feeling helpless,fear
remember beauty truly eye beholder people see beautiful compliment statement valuable find person people want kick someone feeling vulnerable,fear
thinking everyone future feel alone useless wondering hell wrong feel like roommate nothing else,sadness
know mean harm can not help feel offended,anger
feel intimidated college people home,fear
feel like band broke without telling fighting keep everyone together even though want part,sadness
trouble sleeping anxiety causing social life suffer lack motivation used drive work quickly becoming chore satisfied feel dull uninteresting,sadness
feel violent paper tiger,anger
feel bit ashamed taken u nearly month build thing nathans crazy work schedule limited ability power tool able work short spurt time,sadness
feel useless standing sideline like wet lettuce someone something quite capable,sadness
feeling need mellow find something ipod suit ready pump always got go tune two get reved,happy
feel like emotionally beaten pulp,sadness
go son conference next week already feeling nervous apprehensive,fear
feel disgusted continuing something want life,anger
intensely conscious much cash left gas food envelope still intended save next week help feel stressed scared,anger
feeling little adventurous,happy
leave feel invigorated,happy
pregnant first remember thinking lot feel sentimental time passing quickly would another pregnancy yes one crazy people love pregnant,sadness
needed supportive caring understanding loving made feel broke despite could tell stressed whatever place held heart longer kept,sadness
sort feel lame comparison blogger,sadness
chose share little personal snippet phone know one feel way know one petrified face,fear
remember totally different feel faithful duke watcher growing,happy
found end feel like missed winter,sadness
feeling discouraged lately quick visit sister nephew weekend definitely cheered,sadness
feeling sorry someone made fun outfit,sadness
feel uncertain entirely safe,fear
feel like audience smart enough know character well enough figure reading,happy
feeling sally field like day surprised love always brown mop hair atop head,surprise
feel regretful thing can not remember drunk,sadness
feel like joyful maybe hormone act like feel never lie,happy
feel moment know real judge without supporting fact cut going back,love
feeling little grumpy could pm,anger
bore testimony listening one important thing feel impressed something even unsure learning follow impression learn whether spirit,surprise
feel need respected sake,happy
however feel lot isolated distant many call friend,sadness
felt aching feeling anymore think aching feeling unless missing family,sadness
feel like sequel ok overrated great many deem,happy
feel pretty spot instance guessing,happy
know true feel get scared,fear
feeling generous entirety free consumption,happy
feel answer completely un sarcastic way,anger
feeling eager press,happy
wish could huge collective book club think conversation critical time people feeling increasingly fearful unsettled disconnected,fear
feel little relaxed,happy
feel like le person constantly hear family member use hateful language every time anything even remotely related homosexuality come,anger
feeling frustrated,anger
created new profile feel ok cuz already know added,happy
feel bit shamed dr,sadness
feel thankful part country train outdoors late year bundle wear several layer,happy
feel like uncertain thing certain,fear
million untrieds get decided make list using random number generator feeling indecisive,fear
also feeling awful,sadness
already feeling burdened write write write,sadness
really hard worker feel quite loyal place work,love
feel sorry john boehner copious tear running blurring spray tanned face color nicotine stained finger eric cantor waiting push speakership,sadness
feel time le bitchy,anger
feel rejected anymore decide value,sadness
feel irritable guess classic symptom depression,anger
sat windy beach feeling thoroughly annoyed vowed id back would climb scafell,anger
feel passionate sharing,love
feel like alone world day feel like surrounded closed want alone,sadness
feel blessed said numerous time met many nice caring people blogging world,love
feeling quite adventurous might find quiet spot read,happy
feel like beloved mixer extension body,love
said mom made feel vulnerable ever felt,fear
feel apprehensive meeting someone new particularly group situation sign everything hope found courage time come round always far,fear
feel valuable href http idreamculture,happy
love job know surgery emergency always feel resentful especially sleeping,anger
feel enormously honoured included list,happy
actually feeling somewhat listless unmotivated earlier afternoon cup coffee medium strength coffee bursting seam,sadness
feeling absolutely terrified pain trauma already battered body,fear
got previous post much app maker leech upset conference feel like mention impressed,surprise
went one honestly feeling sentimental family morning,sadness
landed reagan airport feeling pretty good,happy
see change leg slimmed bit feel little disheartened visible,sadness
look stack twenty five term paper feel overwhelmed,surprise
cat died illness u year lovely cat ill one two week veterinary surgeon told u dying,sadness
feel roster look messy character new member might look though can not bothered housekeep risk albeit small might get ebayed toon turning guild old member toon,sadness
feel worthless maid,sadness
feel lousy seem frown remember funny time turn upside,sadness
could say make anyone feel better actually reaching goal,happy
feel agitated said continued corner main hastings saw three four cop middle take friend anxiety disorder insisted get wrong bus get away,fear
almost fall asleep feel awkward sleeping beside,sadness
feel blank loss hey old hat,sadness
people harrass feel oppressed behavior,anger
going little selective let read privacy sake relate want read feel motivation safe okay send invite,happy
dream feel like finally burdened thing feel crushing awake,sadness
lulled fantasy walking hand hand remote location preferably beach sunset cliched know feeling love loving return,love
feeling incredibly restless,fear
feel enraged want punch year old,anger
feel submissive,sadness
feeling really pumped running strange,fear
feel discouraged depressed though always challenge sure,sadness
landed dubai started feel ok coming,happy
feel useful,happy
could feel joy rage coming one glad feeling back also glad went yoga tonight sometimes need know better crossfit coach side plank img src http,happy
tell people closest thing feeling surprised would known along,surprise
hate clear voice hate stammer hate feel way humiliated frightened bone want,sadness
wish could help take pain anguish family must feeling innocent child killed school safe,happy
grappled guilt relative friend usually communicate would feel like ignoring felt selfish still posting burlesque blog update without liking photo link,anger
tired hearing unique communication special feeling sincere,happy
feel blessed able help,happy
used feel music gone replaced bitter taste mouth lot sadness,anger
even get jealous bf speaks best friend girl also friend mine listen understand friendship trust towards bf higher feeling jealous,anger
feel really discouraged hope thing hold onto,sadness
feel surprised disturbed actually,surprise
also feel vulnerable left bed virtual silence,fear
feel like pretty weird open liking lot thing doubt interest would surprise anyone,surprise
feel intimidated wide open design therefore find hard write,fear
feel like awkward year old day really feel like grown,sadness
really want someone hold kiss make feel loved safe,love
wanted feel convinced truly found place world without man considering book started ended relationship thoroughly convinced,happy
faith feel convinced asking question,happy
feel want need know need bleed fucked world,anger
feel rather nostalgic day gone never return,love
could soon feel quite rejected,sadness
feel honored insulted,happy
felt little bit cramping feeling feeling week bothered,anger
id always proud coming sometimes feel dorky boring hipster wrong way awkward wonder people feel close,sadness
feel like useless bastard,sadness
feel student classroom hostile towards display intellect like rest society,anger
feel kind strange encountered feeling last year,surprise
feel like garbage wonderful though feel weak strong though feel like failure succeed though feel unworthy live dream end begin,happy
feel like never get impatient around sharp object inevitably lead tear,anger
think could feel idiotic tried,sadness
sipping diet coke watching swimming lesson feeling aggravated mousekins better listener thought crossed mind,anger
think guy feel need compensate obnoxious,anger
feel shitty fuck,sadness
feel invigorated sunshine,happy
sure feel need share experience world maybe actually pretty funny,surprise
know knew buffy one feeling nervous whole multiple dog flight thing going pan,fear
feel like accomplishing something feel passionate life,happy
feel strong connection another human want spend time,happy
waiting girlfriend come apt mine late thought something awful happened,fear
feel glamorous,happy
feeling jealous lately blogger going author reading book si,anger
feel doomed botany lec final later,sadness
reading sentence feeling foolish,sadness
came back reason mind feel blank,sadness
feel like want punch handsome face,happy
feel guilty href http douevenlift,sadness
incredible feeling frantic despair,fear
struggled fit work module felt frustrated time feeling blog rushed although read great interested fellow student blog feel interacted much could done definite area development,anger
feel like gotten rejected time met,sadness
feel optimistic settle long arrived,happy
feeling little stressed seriously one nothing blame,anger
feel violent say going accept consequence,anger
wonder would feel delicate pretty hand looked upon framework branch,love
feel back bouncy little chickie first found scene lot depth understanding world around,happy
feel convinced many factor culture kind cooking mystique,happy
insane liking someone else made feel le valuable b c working also housewife,happy
known sue anything like long bloater lisa feel like know one people meet click grumpy old people conversation straight away roll around laughing next minute well sue,anger
feel honoured chosen share,happy
feel sad ignore pretend feel anything,sadness
feel cared accepted,happy
start feel like reiterate fact sure made clear yet post despondent incident mermaidhaire mean sad like time,happy
think sometimes feeling obligation duty expectation get way trusting intuition guide u actual right direction,happy
feel lucky awesome life family even though belong middle class,happy
feeling shaky,fear
heard story julie bailey treatment first time seen anything print make feel deeply ashamed someone stood neglected nh patient family become isolated community,sadness
feeling rejected sad,sadness
feel satisfied,happy
still feel completely accepted,happy
binge weekend energy clean house something put week even pill really make lose weight wanted hardly felt need eat feel totally completely exhausted,sadness
love actually made feel dismayed disappointed,sadness
feel self assured need compete justify clearly well someone else,happy
feeling nostalgic time life,love
breakdown feeling depressed three four day sticking old sleeping pattern feeling pretty great best better normal,sadness
continue spend hr feeling envious really,anger
got feeling really liked new quilt,love
still managed feel tranquil appreciate archeological wonder,happy
also feeling unimportant,sadness
would probably dine especially feeling rich,happy
got guinea pig lived tiny flat london feeling pretty depressed life,sadness
feel wholly positive,happy
feel insulted technique also proven one worst educating already read slide faster able speak,anger
feel drained least something look forward,sadness
feel discouraged shadow come heart lonely long heaven heaven home jesus portion constant friend oh eye sparrow know watch watch,sadness
feel curious impatient eager confused,surprise
feel rushed prize giving really dilute event future prize giving rushed timetable,anger
asked join creating world year old girl could grow feeling hopeful powerful,happy
feel horrible result,sadness
never fall love anyone feeling make dangerous,anger
feel satisfied happy choice today,happy
breathing well feeling quite lively upbeat,happy
feel bit mournful since read bulletin one myspace friend,sadness
feeling restless home day probably cooped school home way long,fear
feel gentle hand careess tender care across curled shoulder pulled towards embrace sun reach towards searching face,love
instantly feel rejected,sadness
feel really wronged fact hu jia good society,anger
kind feeling nervous anxious shit today,fear
make trip feel strange combination excitement dread,fear
feeling much would like say thank everyone lovely get well wish lovely comment always mean much,love
feeling sympathetic told sorry somehow felt responsible getting burned ridiculous grown man lived sun sensitive skin year know take care,love
id feel sympathetic like current situation seems,love
posted blog feel like unfortunate,sadness
started feeling back aching especially lower back,sadness
feel kid know talented think one thing whole american idol deal grab hold tell,happy
writing feel like discarding lack supporting idea,love
feel like distraught parent breathing neck,fear
waiting get time alone quite week finally get feeling bit homesick,sadness
show feeling well family fan either,happy
feel little isolated house time,sadness
screwed brow together realized reaction pondered could possibly make feel fond stranger,love
feel bashful teasing scrutiny,fear
think since compelled act meek asian front kind feel tad inhibited extent can not even,fear
vividly remember feeling offended would even dream thing could choice,anger
feel privileged said privileged,happy
feel weird want make sure feel loved,fear
would feel uncomfortable wearing work,fear
feel stunned people got big way,surprise
feeling bit disheartened one black belt instructor dojo richard asked let anyone else set destiny,sadness
saw piano either newer cheaper larger always something missing made feel uncertain buying,fear
feel like become socially acceptable allow traditional view threw bus without fight offend someone stand,happy
another reason foreign tourist feel reluctant drive island,fear
feeling well,happy
kind feel lame still regret coming,sadness
feel romantic feeling soul begging god make love feeling soul want hear beat heart ever want otherwise nothing without,love
notice worrying push feeling away replace thought something positive remind let go control,happy
feel super behind aspect life need read,happy
start feel become irritated conversing,anger
remember watching feeling devastated sheer familiarity,sadness
really appreciate protectiveness slight jealousy attention make feel valued,happy
feel bit like franz liebkind producer many people know fuhrer terrific dancer,happy
feel violent something today,anger
feel awkward know awkward,sadness
think making feel weepy,sadness
feel like need cry past day relieved could cry much tear today haha,happy
wanted knowing nothing stepped candyland make looking haggard left feeling radiant bag full product course,happy
feel little bit weird,fear
guess expectation goddamn perfect made feel afraid change,fear
happy feeling something last day felt pretty,happy
feel happy he reason today,happy
managed whole tuesday eating clean caffeined today feeling rather shaky,fear
feel energetic motivated,happy
feeling quite impatient must hit ad internet died vista virus pro started bother,anger
feeling bitchy hell tonight,anger
started feeling festive little early year,happy
feel like time like thing seem little uncertain thank god small thing,fear
feel lethargic unmotivated needy frustrated,sadness
feeling rather lonely,sadness
britain louis xvi marie antoinette think perhaps feel loss russia violent entire family comparatively recent,anger
lived lemon bar week weekend ate ate ate horrible food feel look horrible,sadness
feel insulted see anyone wearing crocs fashionable shoe icon,anger
feel like fake eyeglass make look older hell little authoritative,sadness
take easy even feel well kind stasia saying,happy
feel like ya allah scared puff fun man id idea,fear
really know feeling mind blank confused numb,sadness
much lighter feel extremely passionate life yes,love
drunk example feel lot le shy speaking foreign language yet totally mastered,fear
know guy relate always like feel welcomed see smiling face spa treatment,happy
thought depression negative thought lately intervene thought help feel depressed,sadness
feel like thing nervous two kid,fear
feeling still caring concerned,love
written awhile feel terrific scribble stuff notebook time time,happy
meet men feel insecure woman,fear
feel sorry use ghd hair straightener damage hair,sadness
would feel boring rejected downright unlikeable,sadness
feel homesick miss snobbish fluffy cat,sadness
say first listen yunhos rap gave wtf feeling listening couple time determined learn,happy
go range feel like like russell crowe robin hood merida brave,happy
feeling aggravated listening phoenix lost found,anger
feel bit uncertain really nice girl good friend material,fear
feel talented illustrator designer one know get idea across without trapping crosshatching lensflares everything,happy
feel privileged able share artistry knowing back,happy
feeling kind discouraged nothing happened,sadness
asked darren got home feeling bit curious even though really matter really none business,surprise
feel pain way tortured ti could possibly understand,fear
feel hopeful best give go next week despite dozen final assignment mark,happy
last year second semester result came ecstatic,happy
id like write something interesting right unfortunately feel deprived inspiration,sadness
find whinging temperature every day moment feel ridiculously hot,love
feel sociable day,happy
feeling insecure month feeling full oomph,fear
hate much feel like looking pretty damn flawless pic,happy
began feel cranky feeling hell,anger
could feel radiant heat emanating naked sex reaching longingly probing tip hardness,happy
know exactly put feel like really acceptable foist inconvenience family,happy
wrong feel angry wrong said,anger
feel slightly shaky headache,fear
say making feel tender inside like wound scabbed surface still raw unhealed underneath,love
tween sat mom bos year old year old boy weekend id say babysit feel weird considering n,surprise
feel like whirlwind next trying impatient wait,anger
really feel like lot offer area would like focus troubled teenager,sadness
run feel useless understand retirement daily struggle overwhelms often,sadness
bothered might changed feeling get back u leave heartbroken,sadness
already feeling lethargic,sadness
feel kind vain people tell pretty though,sadness
sorry apparently offends lot woman woman feel need say something rude going anyway,anger
help busy overworked mainly exclusively woman go feeling overwhelmed frustrated generally pissed health appearance,surprise
love taking people smile way child giggle gorgeous way little one move closer mom stranger smile feel scared way teenager boisterous full life hope,fear
feel really comfortable,happy
hope something magical happens today feeling kind listless,sadness
know get energy frombut feel slightly shamed moody feel slept well enough,sadness
feel reader loyal subscriber need informed great butterfly marketing really taken ride bank chunky commission,love
study visit chicken factory butchery,anger
hurt comment made feel unimportant like want date many woman,sadness
feel completely helpless anything help affected tornado hav,fear
cop feeling regretful,sadness
feel thankful rel bookmark day feel thankful posted href http babychaser,happy
remember moment feeling lost hopeless younger,sadness
made sure go since feeling liked complimented,love
write feeling happy childish,happy
made stupid mistake saying fine next day last time headmaster punished served make feel punished hard enough,sadness
feel like held firmly loving arm surrounded wide circle people going let fall,love
feeling particularly nostalgic day,love
feeling disillusioned,sadness
feeling pressured,fear
ill thirty next year feeling positive life choice making thing putting world,happy
feel naughty ratbagx,love
smile people smile back tell feel little cheered seeing jolly morning,happy
used walk neighbor hang worked shop kind got feeling unwelcome,sadness
feel satisfied necessarily forget pain felt,happy
said earlier feeling ignored ever since baby came getting back normal attention given well,sadness
still looking good cause feel passionate volunteer last year friend introduced organization pack food ration needy family,love
feeling little tender wood work,love
suddenly feeling insulted typing,anger
trying go feel hopefully next time brave scale good day see nicer number,happy
walk conventional classroom sens feel assaulted stuff wall hanging ceiling covering surface,fear
imdoing good almost strange feel carefree,happy
could already feel difference strength technique class three class starting find balance though still pretty shaky business,fear
feel low felt low suck,sadness
absolutely love skinny fiber wonder feel fabulous,happy
feel strange catholic vortex,surprise
feeling many surprised learn nearly year time say goodbye guide entertaining,surprise
feeling goddamn pissed,anger
signed petition knowing served next day left feeling vulnerable unsure reaction,fear
feel like get easily distracted making thing switch around many different project throughout week,anger
many kid many strength would sufficient wife would feel burdened,sadness
feel shocked become old,surprise
hate way mom dad hate neglect feeling need intelligent child rampant parenting style,happy
feeling helpless could explain,sadness
feel tortured href http lawrencewashington,anger
fuck coat really still feel like know rock swag look little lame trying whatever though,sadness
might needing quite sometimes let feeling fade away make feel insecure disturb uncomfortable,fear
feeling hot bothered let hold onto body he ready dine told would find better lover he kissing lip think need imagine order get,love
feel like creative professional need unpressed creative outlet get inspired,happy
feeling increasingly hopeful,happy
walked better understanding going experiment also feeling little stunned one equation describe,surprise
feel like quitting rugby ignored,sadness
start feeling resentful overwhelmed sure sign need mothering,anger
sitting boob hanging feel uncomfortable,fear
overwhelmed deep heart hurt feel like empty ache start chest spread soul,sadness
feel ok blessing pronounced upon realized accordance faithfulness,happy
describe happens feel shaky,fear
ill honest feel almost relieved first found getting book published,happy
want say feel though play really vital role anyones life exception one friend,happy
feel petty posting complaint right like kidnapped year old forced make easter creme egg rest life,anger
feel triumphant pride stand counter like achieving high level male honor female redhead boot,happy
feel jealous sumthg tat thk,anger
lover listener cuddle listen can not cuddle thing feel bit listless,sadness
feeling quite stressed wondering would able look bb run going,sadness
think possible maybe denying maybe opening whole possibility maybe realised possible give man men power make feel shaken leather sandal,fear
want share wonderful organization feel extremely passionate,love
feeling hopelessly restless,fear
feel le intelligent watching,happy
feel like getting away friendly tasty goodness seems abound santa cruz including unseen ambient pot smoke always make lazy swear visit laid back town visit university university california santa cruz renowned href http www,happy
feel special amp blessed caring amp creative family,happy
love lot different kind sport love hanging friend free time also unhealthy session grey anatomy feeling ecstatic ty,happy
feel strange effect,fear
loathe gamer said molyneux adding make feel insulted,anger
remember feel like enthralled can not actually feel,surprise
feel confident issue regarded highest sense urgency,happy
feeling like also going uploading poetry lame stuff let know guy like,sadness
hope one feel ungrateful case,sadness
feeling little uncertain skill birthday party arena,fear
feel pain come representing ungrateful client,sadness
feeling seriously feel love someone treat disregard faithful loyal,happy
feel needy cagey wait leaving practice new self old setting,sadness
got eyebrow waxed day feel glamorous,happy
feel incredibly damaged way behaved towards prepared treated way anyone else,sadness
continue struggle experiencing normal feeling sense chipping away precious time,happy
never feel popular,happy
want happy feel loved,love
cycling country,fear
knew quaker announced quite excitedly feeling absolutely wonderful period fortnight nothing much happening brain,happy
feel absolutely shitty,sadness
reading feeling pleasantly surprised find reading list contained four similar book fine chance compare contrast differ,surprise
believe based greed nothing feel beloved country,love
feeling terrified anxious excited apprehensive among million thing,fear
started feel dissatisfied ease convenience,anger
felt disgust dirty,anger
watching episode quantum leap recently show always loved suddenly struck today exactly feel unfortunate missed show focus character named dr,sadness
feel sorry leaving behind,sadness
never feel ecstatic bouncy anxious,happy
feel accepted,love
id love hear handle type situation well story feel free share,happy
idea could feel little love hope week hop blessed kleinkinders,love
feeling pressured desk due pile task waiting often pack go write quiet corner bedroom living room kitchen,fear
feel like little boy sense value perpetually doomed keep breaking valuable life,sadness
used wake feeling horny sometimes finish got,love
id gotten past whole oh gawd humiliated feel humiliated,sadness
feel messy room,sadness
feel miserable wish dead,sadness
really appreciated even thought christian type prayer welcome feeling lost,sadness
feel frustrated read chapter,anger
sometimes feel inadequate mother feeling like failing still second guessing parenting skill,sadness
feel like beaten american footballer run london bus,sadness
alone crazy feeling disheartened,sadness
feel hopeless bored,sadness
managed put stop thing left feeling regretful miserable everyday,sadness
feel leader admired selfish,love
feel extrememly bitchy today done something never done year life,anger
feel pissed feel like sleeping,anger
felt overly hopeful last week feel like resigned waiting next week potentially longer,sadness
said feel like verge messy,sadness
boyfriend last told loved gave impulsive kiss,happy
indulge work forget time trust people easily feel restless work finished,fear
feeling grumpy,anger
suppose writing emerges feeling emotional urgency usually sense darkness,sadness
could look coordinate cave feeling adventurous decide find tibris direction,happy
discus even feeling beloved anyone,happy
managed take photo today outfit feel rather strange especially taken long time,surprise
feel passionate issue want see others become passionate blog hop becomes fun spite much work go along,love
feel like opportunity become smart embrace knowledge really learn everything daydreamed learning,happy
feel stressed get upset,anger
feel like people brave enough speak non standard self publishing market author know work damn hard deserve better,happy
feel got fearless artist time think one belief,happy
feel like weird dreamworld absolutely anything,surprise
suspect also dealing caffeine withdrawal think figured system eating work well feel fab,happy
feeling really weird,surprise
feel irritated missed direct instruction master lee never passed casually admit body feel like need rest,anger
honestly feel heart faithful yo girl,happy
got morning heavy burden heart feeling bit discouraged questioning god certain thing still clear,sadness
wanted everyone matter lifestyle feel little bit glamorous,happy
attached feel loving feeling toward miss get homesick,love
feel like completely satisfied result,happy
feel tortured sickened exactly way felt last day lance leave,fear
kind laying disappeared arm playing computer got turn eat dinner way adjective sudden wierd feeling collar chest felt like bounce electricity shocked something left paw,surprise
get feeling people think indecisive childish entirely true degree show anyway,fear
sleep last night however woke feeling splendid sniffle itchy throat sure could awake,happy
kept feeling enraged,anger
think sooner better well feel greg already distressed mood mom,fear
feeling mellow evening,happy
feel rejected abandoned speaks volume expansion self worth,sadness
feeling much love mother appreciative done,happy
damn tired feel little grouchy,anger
feel contented relieving scene mind,happy
think one asset make guy stand band musicianship especially latest record hit next level feel accepted many genre especially hardcore scene,love
imagine woman breast clinic feeling unfortunate something like happen,sadness
feel like way would le bothered,anger
can not help feeling ugly,sadness
questioned wondering feel jubilant,happy
may resurrect feeling generous lengthy series history celebrity crush,happy
old enough graduation yk feel like yesterday find bit stunned,surprise
wonder alone fact able identify destructive behavior yet feel doomed repeat,sadness
father child killed accident,sadness
feel bad anyone ever watch game,sadness
want feel year long lovely warm tingle october brings,love
feel stubborn strong ready fight disease,anger
feel cold said rachel,anger
little movie star tear come way feel relieved,happy
mother though day still feel strange realize one,surprise
feel little jealous people sitting coffee shop leisurely like morning,anger
feel like devoted many thing time split weirdly,love
sam angsty headspace jensen voice singing bon jovi making feel horny hell,love
mention feeling cranky,anger
wonderful mother law every way like mother year often end feeling bit melancholy mother day,sadness
sure feel yet seemed kind distracted decided wed give end week prove u,anger
know long time feel pathetic feel way,sadness
definately feeling change refusing feel impatient,anger
posted feeling like super mom managed care child fiance house one day working little sleep,happy
feel worthless letting happen,sadness
bit comfort zone feeling tad apprehensive,fear
feel like smell pretty use,happy
feel like total pushover moment anyone know know pushover generous willing give benefit doubt pushover,love
could sense uncomfortable came deliver letter willing attribute feeling weird romantic vulnerable,fear
longer feel happy score well,happy
feeling comfortable water,happy
feel pole useful pair price stats review two pole,happy
feel pained people making kind statement,sadness
feel like paranoid annoyance reality would talked anyone way,fear
feel frustrated impatient,anger
left place feeling heartbroken,sadness
feel bit devastated really thought relationship would worth,sadness
feel saying thing want agree rude,anger
really went cut feel unfortunate broken hearted,sadness
feel quite mad,anger
trying catch bus explained feeling bit dumb,sadness
feel like shy much taking mother described,fear
really feel amazed,surprise
believe luck luck side feel beaten sometimes upset,sadness
actually feel like everything going ok,happy
feeling envious pregant co worker,anger
pub instead stayed home feeling morose depressed,sadness
stay awake whole night feeling energetic stuff,happy
can not help feel sorry,sadness
feel fooled played relieved,happy
feel stunningly elegant tonight darling,happy
feel lame can not help shake fear feel like failing samuel afraid,sadness
woke feeling distraught aware something terrible happen soon,fear
however feel tinge regret know damaged ability breast feed,sadness
still feeling bit stunned experience tonight watching movie,surprise
decided ex real strong feeling whether love extremley caring can not friend eventually blow face,love
love slight cat eye shape lens instantly make feel likeaudrey hepburn breakfast tiffany glamorous course gorgeous case hurt either,happy
stop learning feeling inhibited performance flounder,fear
feel wronged luckily managed control complain talk bad friend either online facebook offline person,anger
want leave thanked parent trusting spend night made feel like respected,happy
listen feel peaceful happy could use big dose life,happy
amos beautiful job retrofitting cohens song really basic arrangement piano work feel like artistic effort merely paying homage,happy
feel classroom extremely dangerous,anger
need find way get yet feel hopeless,sadness
end getting unwanted attention boy want little ill sort starting something boy find flirtiing others presence ill feel really insincere around boy like,anger
read several page still feel unsure feel wasted time engage main argument,fear
feel though rest year jaded due love first,sadness
friend sometime feel insulted around,anger
feel inhibited practice public session compared lesson ice time good ice time,sadness
fall victim feeling inadequate anywhere short perfection set expectation perceive expectation others,sadness
feel tortured emo poetry coming already,anger
wanted feel special guest alise jeremy chose,happy
feeling overwhelmed daily responsibility expectation family job demand time physical tiredness feeling burden overtake financial hardship,surprise
used still make feel empty,sadness
feeling strangely indecisive also really believe,fear
often time feel lost friend seem leave u move away,sadness
want write make feel frantic induced nightlife speed,fear
love long summer evening shoot clock feel pressured short daylight hour winter provides,fear
admit thought go head feel doubtful time coz scared,fear
feel drained yet excited new journey,sadness
need feel like accepted matter loved,love
feel absolutely safe,happy
feel terrible snapped,sadness
went lecture cancelled,anger
feel spitting somebody vicious kind disrespect said,anger
truly feel irate,anger
began feel curious tried percieve beneath pride,surprise
overwhelmed feeling impressed think kid year younger call kid right,surprise
drank cup coffee feel nervous weird,fear
got really crunk situation feel like write calm lol,happy
focus injustice anger rise feel frustrated know can not change thing,anger
feel awful working summer finally going able get real rest put foot,sadness
feel take mg seroquel either restless leg syndrome keep awake night,fear
feeling hopeful seems like good time switch doctor,happy
really can not count number time cried feeling overwhelmed someone expression concern fact thinking,fear
feel blessed privileged known loved know always child,love
like feeling devastated,sadness
struggled come interesting title blogpost lipbalms feel people would consider boring subje,sadness
feeling homesick good reminder blessed really,sadness
realise sounding surprisingly like every person site wish liked mud wrestling something bit outrageous feel rather dull dare say average,sadness
feeling amazed imagining would feel get,surprise
feel ungrateful complaining also feel cheated sitting quietly,sadness
ask folk park feel smart park inch separating car one front behind,happy
present two photo side side one photo remember feeling cute day,happy
feel answered question pretty trusting part,happy
vocal feel think convinced let anyone walk let opinion matter,happy
heard feeling many time discussed uncertain future many people conversation blending together,fear
plodded taking far long feeling rather virtuous,happy
feel like really gentle hand recording process,love
come back programme three girl staying another girl placce one started passing nasty outright bitchy remark brought male colleague compliment,anger
feel poisoned tortured room,fear
suck lot keeping house clean yet feel twitchy messy,sadness
sure organisation best intention though disagree whole heartedly get feeling demostrators slightly hostile student,anger
know feel heart aching sadness loss good kind people connected loss href http,sadness
feel like mention fond damn shapeshifter first place,love
feeling smell going pleasant,happy
feel like ought working casual activism construes something potentially stressful update tomorrow,happy
sure buy hubby feeling pretty impressed,surprise
must feeling little cranky,anger
get lucky often thing work benefit time feel accept unfortunate,sadness
feel heartbroken mostly daughter adjust new daycare center,sadness
guess good news feel calm think needed get chest,happy
busy bask fabulous overwhelming feeling really nothing live life cat would caring sleeping eating,love
feel bitchy talking way ahaha sound le retarded telling story person swear said boy would fall love,anger
feel thing learn course useful right,happy
remember feeling calmed ease even though minute good light felt confidence determination get best possible shot made difference world,happy
never feel fucked week used feel great acctually thinking wonderfull time weekend img src http israel,anger
feel hateful given friendship woman couple others reason admit defeat let husband make feel insecure feel need avoid cut life security challenged,anger
feel dull easily difference rule absolutely several turn quick easy casserole fantastic relating group meal local hall pitch in picnic address luncheon etc,sadness
want feel slutty,love
enjoyed feeling belonging sense recognised somehow valuable,happy
honestly say every good thing life right crashing feel stubborn ask help,anger
thought exhausted emotion held frustration confusion still much give much feel look blank white piece paper want fill colour motion still seems blank,sadness
feel like job worth caring shifty,love
feel touch sweet hand,love
understand extremely positive attribute overshadowed weakness subconsciously people wired feel superior others thereby treat differently,happy
feel heartless heart hurt still feel feel much pain,anger
especially interested hearing thought perspective read men woman feel respected lived,happy
feel like held back lot summer soccer mom trusting,happy
remember feeling surprised option listen,surprise
feel rejected must measure,sadness
feel like house constantly dirty truly hate cleaning especially tired,sadness
leave nursing home week feeling joyful ready come back,happy
feel agitated sort lost,anger
still contraction feeling slightly defeated,sadness
know feel personally offended many level,anger
highly doubt would see young jean scott considering would limited reason actor future movie since announce moving aoa next feature feel like missed opportunity,sadness
going go anti dance flow feel eager since ill mat anyhow might even circuit grow spine,happy
feel love yesterday brought tear eye hear say today realize special surrounded love,happy
serious question feel ok support healthcare plan trample anothers belief,happy
